ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
2,0,2,80,0,3337,800,480
3,0,2,80,0,3337,1024,600
4,0,2,80,0,3337,1240,720
5,0,2,80,0,3337,800,480
6,0,2,80,0,3337,1240,720
7,0,2,80,0,3337,800,480
8,0,2,80,0,3337,1024,600
9,0,2,80,0,3337,1920,1080
10,0,2,80,0,3337,1240,720
11,0,2,80,0,3337,1240,720
12,0,2,80,0,3337,1024,600
13,0,2,80,0,3337,800,480
14,0,2,80,0,3337,1024,600
15,0,2,80,0,3337,800,480
16,0,2,80,0,3337,800,480
17,0,2,80,0,3337,1024,600
18,0,2,80,0,3337,1920,1080
19,0,2,80,0,3337,1024,600
20,0,2,80,0,3337,1920,1080
21,0,2,80,0,3337,1920,1080
22,0,2,80,0,3337,800,480
23,0,2,80,0,3337,1920,1080
24,0,2,80,0,3337,800,480
25,0,2,80,0,3337,1240,720
26,0,2,80,0,3337,1024,600
27,0,2,80,0,3337,1024,600
28,0,2,80,0,3337,1024,600
29,0,2,80,0,3337,800,480
30,0,2,80,0,3337,800,480
31,0,2,80,0,3337,800,480
32,0,2,80,0,3337,1240,720
33,0,2,80,0,3337,1024,600
34,0,2,80,0,3337,1024,600
35,0,2,80,0,3337,1024,600
36,0,2,80,0,3337,1240,720
37,0,2,80,0,3337,800,480
38,0,2,80,0,3337,1240,720
39,0,2,80,0,3337,1920,1080
40,0,2,80,0,3337,800,480
41,0,2,80,0,3337,1024,600
