ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
57,174,2,60,0,3337,800,480
58,174,2,60,0,3337,800,480
59,174,2,60,0,3337,800,480
60,174,2,60,0,3337,800,480
61,174,2,60,0,3337,800,480
62,174,2,60,0,3337,800,480
63,174,2,60,0,3337,800,480
64,174,2,60,0,3337,800,480
65,174,2,60,0,3337,800,480
66,174,2,60,0,3337,800,480
67,174,2,60,0,3337,800,480
68,174,2,60,0,3337,800,480
69,174,2,60,0,3337,800,480
70,174,2,60,0,3337,800,480
71,174,2,60,0,3337,800,480
72,174,2,60,0,3337,800,480
73,174,2,60,0,3337,800,480
74,174,2,60,0,3337,800,480
75,174,2,60,0,3337,800,480
76,174,2,60,0,3337,800,480
77,174,2,60,0,3337,800,480
78,174,2,60,0,3337,800,480
79,174,2,60,0,3337,800,480
80,174,2,60,0,3337,800,480
81,174,2,60,0,3337,800,480
82,174,2,60,0,3337,800,480
83,174,2,60,0,3337,800,480
84,174,2,60,0,3337,800,480
85,174,2,60,0,3337,800,480
86,174,2,60,0,3337,800,480
87,174,2,60,0,3337,800,480
88,174,2,60,0,3337,800,480
89,174,2,60,0,3337,800,480
90,174,2,60,0,3337,800,480
91,174,2,60,0,3337,800,480
92,174,2,60,0,3337,800,480
93,174,2,60,0,3337,800,480
94,174,2,60,0,3337,800,480
95,174,2,60,0,3337,800,480
96,174,2,60,0,3337,800,480
97,174,2,60,0,3337,800,480
98,174,2,60,0,3337,800,480
99,174,2,60,0,3337,800,480
100,174,2,60,0,3337,800,480
101,174,2,60,0,3337,800,480
102,174,2,60,0,3337,800,480
103,174,2,60,0,3337,800,480
104,174,2,60,0,3337,800,480
105,174,2,60,0,3337,800,480
106,174,2,60,0,3337,800,480
107,174,2,60,0,3337,800,480
108,174,2,60,0,3337,800,480
109,174,2,60,0,3337,800,480
110,174,2,60,0,3337,800,480
111,174,2,60,0,3337,800,480
112,174,2,60,0,3337,800,480
113,174,2,60,0,3337,800,480
114,174,2,60,0,3337,800,480
115,174,2,60,0,3337,800,480
116,174,2,60,0,3337,800,480
117,174,2,60,0,3337,800,480
118,174,2,60,0,3337,800,480
119,174,2,60,0,3337,800,480
120,174,2,60,0,3337,800,480
121,174,2,60,0,3337,800,480
122,174,2,60,0,3337,800,480
123,174,2,60,0,3337,800,480
124,174,2,60,0,3337,800,480
125,174,2,60,0,3337,800,480
126,174,2,60,0,3337,800,480
127,174,2,60,0,3337,800,480
128,174,2,60,0,3337,800,480
129,174,2,60,0,3337,800,480
130,174,2,60,0,3337,800,480
131,174,2,60,0,3337,800,480
132,174,2,60,0,3337,800,480
133,174,2,60,0,3337,800,480
134,174,2,60,0,3337,800,480
135,174,2,60,0,3337,800,480
136,174,2,60,0,3337,800,480
137,174,2,60,0,3337,800,480
138,174,2,60,0,3337,800,480
139,174,2,60,0,3337,800,480
140,174,2,60,0,3337,800,480
141,174,2,60,0,3337,800,480
142,174,2,60,0,3337,800,480
143,174,2,60,0,3337,800,480
144,174,2,60,0,3337,800,480
145,174,2,60,0,3337,800,480
146,174,2,60,0,3337,800,480
147,174,2,60,0,3337,800,480
148,174,2,60,0,3337,800,480
149,174,2,60,0,3337,800,480
150,174,2,60,0,3337,800,480
151,174,2,60,0,3337,800,480
152,174,2,60,0,3337,800,480
153,174,2,60,0,3337,800,480
154,174,2,60,0,3337,800,480
155,174,2,60,0,3337,800,480
156,174,2,60,0,3337,800,480
157,174,2,60,0,3337,800,480
158,174,2,60,0,3337,800,480
159,174,2,60,0,3337,800,480
160,174,2,60,0,3337,800,480
161,174,2,60,0,3337,800,480
162,174,2,60,0,3337,800,480
163,174,2,60,0,3337,800,480
164,174,2,60,0,3337,800,480
165,174,2,60,0,3337,800,480
166,174,2,60,0,3337,800,480
167,174,2,60,0,3337,800,480
168,174,2,60,0,3337,800,480
169,174,2,60,0,3337,800,480
170,174,2,60,0,3337,800,480
