ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
57,117,2,60,0,3337,800,480
58,117,2,60,0,3337,800,480
59,117,2,60,0,3337,800,480
60,117,2,60,0,3337,800,480
61,117,2,60,0,3337,800,480
62,117,2,60,0,3337,800,480
63,117,2,60,0,3337,800,480
64,117,2,60,0,3337,800,480
65,117,2,60,0,3337,800,480
66,117,2,60,0,3337,800,480
67,117,2,60,0,3337,800,480
68,117,2,60,0,3337,800,480
69,117,2,60,0,3337,800,480
70,117,2,60,0,3337,800,480
71,117,2,60,0,3337,800,480
72,117,2,60,0,3337,800,480
73,117,2,60,0,3337,800,480
74,117,2,60,0,3337,800,480
75,117,2,60,0,3337,800,480
76,117,2,60,0,3337,800,480
77,117,2,60,0,3337,800,480
78,117,2,60,0,3337,800,480
79,117,2,60,0,3337,800,480
80,117,2,60,0,3337,800,480
81,117,2,60,0,3337,800,480
82,117,2,60,0,3337,800,480
83,117,2,60,0,3337,800,480
84,117,2,60,0,3337,800,480
85,117,2,60,0,3337,800,480
86,117,2,60,0,3337,800,480
87,117,2,60,0,3337,800,480
88,117,2,60,0,3337,800,480
89,117,2,60,0,3337,800,480
90,117,2,60,0,3337,800,480
91,117,2,60,0,3337,800,480
92,117,2,60,0,3337,800,480
93,117,2,60,0,3337,800,480
94,117,2,60,0,3337,800,480
95,117,2,60,0,3337,800,480
96,117,2,60,0,3337,800,480
97,117,2,60,0,3337,800,480
98,117,2,60,0,3337,800,480
99,117,2,60,0,3337,800,480
100,117,2,60,0,3337,800,480
101,117,2,60,0,3337,800,480
102,117,2,60,0,3337,800,480
103,117,2,60,0,3337,800,480
104,117,2,60,0,3337,800,480
105,117,2,60,0,3337,800,480
106,117,2,60,0,3337,800,480
107,117,2,60,0,3337,800,480
108,117,2,60,0,3337,800,480
109,117,2,60,0,3337,800,480
110,117,2,60,0,3337,800,480
111,117,2,60,0,3337,800,480
112,117,2,60,0,3337,800,480
113,117,2,60,0,3337,800,480
